"Zaman damgası","Your department (e.g., CMPE)","Level (e.g., Bachelor/Masters)","Years completed in the program (e.g., 2nd year)","Age","Gender","Prior general experience with Augmented Reality (AR)","Prior experience with any robotics software/hardware development","Prior experience with robotic arms","If any, please elaborate on your previous experience(s) related to robotics and/or AR.","I think that I would like to use this system frequently.","I found the system unnecessarily complex.","I thought the system was easy to use.","I think that I would need the support of a technical person to be able to use this system.","I found the various functions in this tool were well integrated.","I thought there was too much inconsistency in this system.","I would imagine that most people would learn to use this system very quickly.","I found the system very cumbersome to use.","I felt very confident using the system.
","I needed to learn a lot of things before I could get going with this system.","I think that I would like to use the method of kinesthetic teaching frequently.","I found the method of kinesthetic teaching unnecessarily complex.","I thought the method of kinesthetic teaching was easy.","I think that I would need the support of a technical person to do kinesthetic teaching.","I would imagine that most people would learn the method of kinesthetic teaching very quickly.","I found the method of kinesthetic teaching very cumbersome.","I felt very confident while doing kinesthetic teaching.
","I needed to learn a lot of things before I could get going with the method of kinesthetic teaching.","I think RAMPA is...","I think RAMPA is...","I think RAMPA is...","I think RAMPA is...","I think RAMPA is...","I think RAMPA is...","I think RAMPA is...","I think RAMPA is...","Mental Demand: How much mental and perceptual activity was required while using RAMPA?
(Was the task easy or demanding, simple or complex?)","Physical Demand: How much physical activity was required while using RAMPA? (Was the task easy or demanding, slack or strenuous?)","Temporal Demand: How much time pressure did you feel due to the pace at which the tasks or task elements occurred while using RAMPA? (Was the pace slow or rapid?)","Own Performance: How successful were you in performing the task while using RAMPA? (How satisfied were you with your performance?)","Effort: How hard did you have to work (mentally and physically) to accomplish your level of performance while using RAMPA?","Frustration Level: How irritated, stressed, and annoyed (versus content, relaxed, and complacent) did you feel during the task while using RAMPA?","Mental Demand: How much mental and perceptual activity was required while doing kinesthetic teaching?
(Was the task easy or demanding, simple or complex?)","Physical Demand: How much physical activity was required while doing kinesthetic teaching? (Was the task easy or demanding, slack or strenuous?)","Temporal Demand: How much time pressure did you feel due to the pace at which the tasks or task elements occurred while doing kinesthetic teaching? (Was the pace slow or rapid?)","Own Performance: How successful were you in performing the task while doing kinesthetic teaching? (How satisfied were you with your performance?)","Effort: How hard did you have to work (mentally and physically) to accomplish your level of performance while doing kinesthetic teaching?","Frustration Level: How irritated, stressed, and annoyed (versus content, relaxed, and complacent) did you feel during the task while doing kinesthetic teaching?","Was the tool flexible in allowing iterations to your trajectory?","Did you have to make a lot adjustments before arriving at the desired result?","In the end, how much progress did you feel you made in learning to use this tool effectively?","Which approach is more safe?","Which approach would you prefer to use in the future if you were to record data for robotics?","What did you like most about using the tool?","Was the robot realistic (in terms of appearance and movement) in AR?","What challenges did you face while using the tool?","What aspects of the tool would you most like to see improved?","Considering the current capabilities and limitations, would you use this tool for future projects?","Would you recommend this tool to other students?","Any additional comments or feedback?"
"2024/09/02 10:36:38 ÖS GMT+3","CMPE","Masters","2","24","Male","Advanced","Beginner","2","Developing an application for AR headsets. Used work with Arduino and its compoments.","5","1","5","2","5","1","5","2","5","2","5","1","5","1","5","2","5","2","7","7","7","7","7","7","7","7","2","3","2","9","2","1","2","5","3","9","4","1","5","1","5","AR system","AR system","The controls with hand gestures being straightforward.","5","Calibrating the position of the digital twin","A more precise way of calibration","5","5","Elinize sağlık"
"2024/09/20 10:41:05 ÖS GMT+3","CMPE","Bachelor","2","21","Male","Intermediate","Intermediate","4","Worked on some projects","4","2","4","3","4","2","3","1","4","2","2","2","2","2","3","5","4","2","7","5","7","6","7","7","6","6","3","1","2","9","2","1","4","10","5","8","8","8","4","1","3","AR system","AR system","Easily teaching specific trajectories such as straight lines","4","Unexpected behaviour due to Meta Quest configuration","I would love to see a more environment aware virtual robot","5","5","-"
"2024/09/20 10:41:36 ÖS GMT+3","EE","Bachelor","1","20","Male","None","None","1","No experience","4","1","5","4","5","1","4","1","5","3","3","1","5","1","4","2","4","1","6","7","6","7","7","7","7","6","6","1","2","10","4","1","3","3","2","10","4","1","4","1","4","Manually moving the robot by hand (kinesthetic teaching)","AR system","The AR system was exciting","5","No challenges","It is sufficient","4","5","Keep up the good work"
"2024/09/21 12:00:12 ÖS GMT+3","CMPE","Bachelor","4","23","male","Intermediate","Intermediate","3","I developed a robotic arm simulation using AR technology. ","5","2","4","1","5","1","4","2","5","2","5","1","5","5","4","2","4","2","6","5","6","5","7","7","6","6","4","5","2","7","3","1","2","5","2","8","3","1","4","1","4","AR system","AR system","It allows the user to perform almost all tasks with the robot without needing a physical one.","5","The robot occasionally gets stuck due to an error that the user cannot identify.","Error rate in the trajectory calculations can be decreased. ","5","5","Elinize sağlık"
"2024/09/24 12:43:29 ÖS GMT+3","CMPE","Bachelor","3 years completed","22","Male","None","None","1","No experience","4","2","4","4","5","1","3","3","4","1","5","1","4","2","3","3","5","1","5","5","6","5","7","7","5","5","6","3","3","8","4","2","3","8","6","9","7","3","5","3","4","AR system","AR system","Using very little physical effort","4","Reading the menu from the VR device was hard due to visual problems in my eyes ","Calibration would be easier","4","4","No, thanks"
"2024/09/24 5:09:42 ÖS GMT+3","CMPE","Bachelor","3rd year","20","Male","None","None","1","None","4","1","5","2","4","2","4","2","5","1","5","2","4","2","4","2","5","1","7","7","5","6","5","6","5","5","3","1","7","6","2","1","4","1","2","6","3","1","4","2","3","AR system","AR system","It was easy to use. The instructions were clear all I need to do was closing my fingers drawing trejactory  and opening them","4","The tools reach caused problems. At the end of its reach does not follow the line completely ","The end of its reach does not follow the line completely","4","3","The tools reach is a phisical limitation. Besides that the experience was good"
"2024/09/24 8:38:39 ÖS GMT+3","CMPE","Masters","1st year","24","Male","Beginner","Intermediate","4","I collect demonstrations with robot. I've used AR headset before.","4","1","5","2","5","1","5","1","4","2","3","3","2","4","2","3","4","2","6","7","6","6","7","6","6","5","3","1","1","9","2","1","2","8","3","7","7","2","5","2","5","AR system","AR system","It allows me to fine-tune the trajectory I draw. It is much more efficient than kinesthetic teaching since it allows me to collect demonstrations faster.","4","Technical problems related to AR headset and Unity can occur but not often.","Other movement primitives can be added to the system. ","5","5","None"
"2024/09/24 9:10:32 ÖS GMT+3","CMPE","PhD","4 years completed","31","male","Intermediate","Intermediate","2","I’ve been to CoLoRS lab as a guest, my office desk was there (although I did not work with anything robotics-related), and I suppose I was made to try handling Baxter once or twice. I own a VR/AR headset (Pico Neo 4, a very similar headset to Quest 3) that I play VR games with.","2","4","3","3","3","2","2","4","4","2","2","4","2","2","4","4","2","1","4","4","4","4","6","6","6","5","5","4","6","5","5","6","6","6","3","7","6","6","2","2","3","Manually moving the robot by hand (kinesthetic teaching)","AR system","the virtual demo of how the robot will act, and to see it before it happens in reality (although the interactions with the real world objects is lacking in the demo)","4","pinch recognition is buggy, drawn trajectories cannot be edited other than being erased/trimmed and redrawn, trajectory was being drawn at an offset to my pinch position once, we had to reopen the software a couple of times for various technical reasons","I think it would be much better if the initially recorded trajectory is just a first draft, and the user can smooth the line at a level of intensity they choose and/or mold/edit it from its control points (i.e., making a hill-like curve more shallow or steep). Hand-tracked trajectory drawing can also be replaced with controller-tracked drawing, since that’d probably be more reliable.","4","4","I think it would be much more intuitive for humans to simply demonstrate how they do the task themselves. The dream-product would then capture the *effects* of that demonstration, distill it down to the core/aimed effects that we can call the “intent”, and then find out how the robot arm may accomplish that same intent with its own capabilities. That’s perhaps a completely different direction, but this experiment leaves the human subject wishing just for that dream-product."
"2024/09/25 12:10:43 ÖÖ GMT+3","EE","masters","1st year","24","Erkek","Beginner","None","1","No","3","1","4","2","5","2","4","1","5","1","2","2","1","3","3","5","2","3","5","5","7","5","6","5","6","5","3","2","9","8","3","1","6","9","1","6","7","5","4","2","4","AR system","AR system","İt reduces the physical work load","4","Realizing the hight of the line is a lit bit hard.","Going back when ı did the line wrong ","5","5","No"
"2024/09/25 5:13:16 ÖS GMT+3","Cmpe","Bachelor","4th","22","Male","None","None","1","-","5","2","4","2","5","2","5","2","4","1","2","2","4","5","4","5","2","3","7","7","7","7","7","7","7","7","5","2","1","10","5","1","8","8","5","6","6","6","5","1","5","AR system","AR system","I enjoyed using the tool much more compared to the manual training","4","Since It was my first time with the tool,learning the menu and controls was a challenge but they are easy to learn so there was no complicated challenges","Putting artificial robot on the right place sometimes  leads to problems","5","5","-"
